status,shortlong,forceIndex,trend2min,trend5min,trend10min,trend15min,buildDate
GAIN,VENDIDO,80,-25,-80,-210,-215,1565103540000
GAIN,COMPRADO,105,-10,10,20,170,1565104140000
GAIN,VENDIDO,195,60,-10,-50,-205,1565104440000
GAIN,VENDIDO,150,25,40,-95,-200,1565104740000
LOSS,COMPRADO,175,80,180,230,40,1565105040000
LOSS,VENDIDO,135,60,-75,-155,-85,1565105640000
GAIN,COMPRADO,155,110,90,155,45,1565105940000
GAIN,COMPRADO,125,65,70,55,120,1565107140000
GAIN,VENDIDO,110,10,-35,-70,-90,1565108340000
GAIN,COMPRADO,165,30,60,110,120,1565111040000
GAIN,COMPRADO,120,15,100,90,65,1565111640000
GAIN,COMPRADO,130,55,65,130,100,1565112240000
LOSS,COMPRADO,95,130,95,100,95,1565113140000
GAIN,COMPRADO,115,-35,5,55,120,1565115240000
GAIN,COMPRADO,260,-70,40,220,280,1565115540000
GAIN,COMPRADO,150,215,135,195,135,1565115840000
GAIN,VENDIDO,175,-15,-75,-85,25,1565116140000
GAIN,VENDIDO,95,-25,-35,-75,-110,1565119740000
GAIN,VENDIDO,411,-300,-240,-355,0,1565179440000
GAIN,VENDIDO,165,0,-15,-395,-410,1565179740000
GAIN,VENDIDO,145,-10,-50,-115,-120,1565180040000
GAIN,COMPRADO,105,-20,-20,10,75,1565180640000
GAIN,VENDIDO,130,40,-25,-35,-85,1565181240000
GAIN,VENDIDO,100,-65,-75,-45,-130,1565181540000
LOSS,VENDIDO,165,-15,-200,-120,-170,1565182140000
GAIN,VENDIDO,210,10,-205,-410,-320,1565182440000
GAIN,VENDIDO,150,45,-140,-145,-75,1565183040000
GAIN,VENDIDO,110,-100,-65,-90,-280,1565183340000
GAIN,VENDIDO,310,-285,-315,-375,-425,1565183640000
GAIN,COMPRADO,155,100,240,20,-225,1565184240000
GAIN,VENDIDO,165,75,-80,-100,15,1565184840000
GAIN,COMPRADO,185,-55,20,220,0,1565185140000
